Ax,Ay,Az
-0.026162,-0.030024,0.071448
0.034862,-0.02504,0.11212
0.034352,0.027082,0.15019
-0.0036189,0.096216,0.1327
-0.032384,0.11213,0.052803
-0.050674,0.086856,-0.032785
-0.05784,0.12982,-0.063461
-0.049083,0.24462,-0.042863
-0.031421,0.26471,-0.02901
-0.026309,0.094687,-0.050873
-0.026852,-0.087642,-0.037706
-0.0059638,-0.060687,0.088615
0.0073241,0.058834,0.23157
-0.014126,0.056456,0.20779
-0.022619,0.067171,0.037083
0.0016133,0.24031,-0.055503
0.00078185,0.33095,0.012433
-0.044721,0.13499,0.07848
-0.098516,-0.097652,0.034344
-0.1337,-0.079342,-0.040023
-0.087168,0.057043,-0.061987
0.056979,0.098716,-0.028764
0.11963,0.14167,0.024582
0.014243,0.26959,0.029394
-0.047536,0.35736,-0.024932
0.016133,0.32668,-0.05888
0.030057,0.20069,-0.046778
-0.019312,0.073652,-0.028841
-0.02371,0.038031,-0.015639
-0.022581,0.0065974,-0.0070566
-0.054778,-0.074728,-0.012745
-0.070968,-0.073496,-0.020676
-0.061832,-0.0021035,-0.0058464
-0.052651,0.0115,0.022577
-0.046678,0.0053475,0.019799
-0.019174,0.02459,-0.013343
0.034046,0.026223,-0.031225
0.05029,0.020132,-0.054943
0.007338,0.011697,-0.12009
-0.023835,-0.046634,-0.1418
-0.01997,-0.16078,-0.047455
-0.022263,-0.26155,0.052538
-0.033891,-0.22707,0.045581
-0.038908,-0.030138,0.00021513
-0.027241,0.11662,-0.0059601
0.0075458,0.039964,-0.0073883
0.027065,-0.079873,-0.029495
0.0053518,-0.047681,-0.059363
-0.0031373,0.029784,-0.074874
0.025307,-0.0095553,-0.038888
0.027519,-0.15873,0.033169
-0.012126,-0.25372,0.083373
-0.019972,-0.13697,0.091315
0.027245,0.065761,0.069089
0.054129,0.11309,0.040033
0.020007,0.047422,0.0071472
-0.023138,0.033741,-0.027884
-0.036476,0.10196,-0.02269
-0.032731,0.22741,0.0065073
-0.015961,0.29654,-0.0052632
0.010606,0.16576,-0.023686
0.031531,-0.029448,0.0012138
0.047972,-0.056947,0.026266
0.046538,-0.0030374,0.017007
0.0037113,-0.043492,-0.010973
-0.03605,-0.12777,-0.056269
-0.024318,-0.18278,-0.11082
-0.0027186,-0.17054,-0.11141
-0.0048926,-0.020609,-0.016978
-0.0048533,0.13124,0.089893
-0.0053687,0.10532,0.098883
-0.019823,0.030087,0.025122
-0.024626,0.015581,-0.018075
-0.019942,-0.060563,0.0037059
-0.023009,-0.18275,-0.002973
-0.0089457,-0.20227,-0.062481
0.024785,-0.11007,-0.059058
0.025382,-0.0031023,0.012541
-0.0071546,0.02816,0.01079
-0.013568,0.00090039,-0.055655
0.0076212,0.018299,-0.04404
0.0037295,0.13372,0.040696
-0.034537,0.35843,0.077753
-0.064435,0.55644,0.027501
-0.061428,0.45515,-0.057468
-0.0403,0.12186,-0.11002
-0.012257,-0.051157,-0.10041
0.013753,0.015352,-0.047919
0.0098217,0.073524,0.0068357
-0.015315,0.028796,0.032888
-0.010292,-0.065304,0.024157
0.012501,-0.1801,-0.010307
-0.0047855,-0.18717,-0.034386
-0.03184,0.0030676,0.005201
-0.0076793,0.15555,0.077258
0.025696,0.081437,0.092008
0.015723,-0.0085278,0.067087
0.003843,0.030586,0.07666
0.022861,0.025067,0.092197
0.042691,-0.061393,0.062391
0.053872,-0.04096,0.030025
0.065912,0.094301,0.034192
0.06112,0.16512,0.01408
0.034968,0.11026,-0.084666
0.010916,0.027989,-0.18954
-0.001453,-0.011449,-0.19093
-0.0037436,-0.050848,-0.11069
0.0044952,-0.15111,-0.057972
0.015,-0.31327,-0.05592
0.015167,-0.43827,-0.039371
0.0029022,-0.34045,0.005919
-0.0081849,-0.037278,0.033333
-0.0069749,0.14036,0.05602
-0.0059576,0.062679,0.11479
-0.015784,-0.015093,0.14769
-0.013194,0.016568,0.089171
0.023739,0.038137,0.02203
0.064495,0.043932,0.043896
0.057775,0.049819,0.095118
0.011122,0.023291,0.057449
-0.015565,0.030748,-0.071206
-0.006419,0.084947,-0.1794
-0.0013857,0.087588,-0.16245
-0.0064499,0.057744,-0.019607
-0.0019826,0.073785,0.15415
-0.0089104,0.078738,0.26568
-0.035926,0.004419,0.24785
-0.039316,-0.057352,0.07299
0.00035717,-0.010748,-0.1124
0.050002,0.056165,-0.10031
0.075393,0.045817,0.038596
0.062431,0.020226,0.084642
0.018093,0.029528,0.028843
-0.024187,0.01813,-0.026122
